L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENST00000631639	0	1	0	1	0	0	0	0
ENST00000632021	1	0	0	0	0	0	0	0
ENST00000633796	0	0	0	0	0	0	0	0
ENST00000631471	0	0	0	0	0	0	0	0
ENST00000634111	0	0	0	0	0	0	0	0
ENST00000633292	0	0	0	0	0	0	0	0
ENST00000631824	0	0	0	0	0	0	0	0
ENST00000632829	0	0	0	0	0	0	0	0
ENST00000632432	0	0	0	0	0	0	0	0
ENST00000631835	0	0	1	0	0	0	0	0
ENST00000633244	0	0	0	0	0	0	0	0
ENST00000631663	0	0	0	0	0	0	0	0
ENST00000631559	0	0	0	0	0	0	0	0
ENST00000632638	0	0	0	0	0	0	0	0
ENST00000633466	0	0	0	0	0	0	0	0
ENST00000633842	0	0	0	0	0	0	0	0
ENST00000633092	0	0	0	0	0	0	0	0
ENST00000610439	0	0	0	0	0	0	0	0
ENST00000633283	0	0	0	0	0	0	0	0
ENST00000619125	0	0	2	0	0	0	0	0
ENST00000634198	0	0	0	0	0	0	0	0
ENST00000631690	1	0	1	1	2	1	0	0
ENST00000379435	0	0	0	0	0	0	0	0
ENST00000390344	1	0	26.773	45.648	25.089	22.079	40.583	45.275
ENST00000426402	1.882	4.769	8.326	10.392	3.233	3.479	14.967	1.162
ENST00000390341	0	0	0	0	0	0	0	1
ENST00000390343	1	0	2.019	2.014	2	0	2.585	3
ENST00000390346	5.024	9.541	53.133	48.904	23.86	44.656	52.952	56.909
ENST00000444775	0	1	0	0	2	0	0	1
ENST00000390345	1.435	2.231	38.22	68.196	34.457	82.907	32.203	53.038
ENST00000390348	5	5	12.684	4.279	12.192	8.289	4.117	4.001
ENST00000390340	0	0	0	0	0	0	0	0
ENST00000542354	0	1	0	5	1	0	0	0
ENST00000390423	0	0	0	0	0	0	0	0
ENST00000390424	0	0	0	0	0	0	0	0
ENST00000390425	0	0	0	0	0	0	0	0
ENST00000390426	0	0	0	0	0	0	0	0
ENST00000390427	0	0	0	0	0	0	0	0
ENST00000390428	0	0	0	0	0	0	0	0
ENST00000390429	0	0	0	0	0	0	0	0
ENST00000390430	0	0	0	0	0	0	0	0
ENST00000390431	0	0	0	0	0	0	0	0
ENST00000390432	0	0	0	1	0	0	0	0
ENST00000390433	0	0	0	0	0	0	0	0
ENST00000390434	0	0	0	1	0	0	0	0
ENST00000390435	0	0	0	0	0	0	0	0
ENST00000390436	0	0	0	0	0	0	0	0
ENST00000390437	0	0	0	0	0	0	0	1
ENST00000390438	0	0	0	0	0	0	0	0
ENST00000390439	0	0	0	0	0	0	0	0
ENST00000390440	0	0	0	0	0	0	0	0
ENST00000390441	0	0	0	0	0	0	0	1
ENST00000390442	0	0	0	0	0	0	0	0
ENST00000390443	0	1	0	0	0	0	0	0
ENST00000390444	0	0	0	0	0	0	0	0
ENST00000390445	0	0	0	0	0	0	0	0
ENST00000390446	0	0	0	0	0	0	0	0
ENST00000390447	1	0	0	0	0	0	0	0
ENST00000390448	0	0	0	0	0	0	0	1
ENST00000390449	0	0	0	0	0	0	0	0
ENST00000390450	0	0	4	0	0	0	0	0
ENST00000390451	0	0	0	0	0	0	0	0
ENST00000390452	0	0	0	0	0	0	0	0
ENST00000621643	0	0	0	0	0	0	0	0
ENST00000390453	0	0	0	0	0	0	0	0
ENST00000390454	0	0	0	0	0	0	0	0
ENST00000390455	0	0	0	0	0	0	0	0
ENST00000390456	0	0	0	0	0	0	0	0
ENST00000390457	1	0	0	0	0	1	0	0
ENST00000390458	5	0	0	0	0	0	0	0
ENST00000557168	0	0	0	0	0	1	0	0
ENST00000390466	0	0	0	0	0	0	0	0
ENST00000390461	0	0	0	1	0	0	0	0
ENST00000390467	0	0	0	1	0	0	0	0
ENST00000390464	0	0	0	1	0	1	0	0
ENST00000390468	0	0	0	0	1	0	0	2
ENST00000390465	0	0	0	0	0	0	0	0
ENST00000390460	0	0	0	0	0	0	0	0
ENST00000535880	2	5	3	4	1	24	5	0
ENST00000390469	0	0	0	0	0	1	0	0
ENST00000390463	0	0	0	0	0	0	0	0
ENST00000455382	0	0	0	0	0	0	0	0
ENST00000390357	0	0	0	0	0	0	0	0
ENST00000634605	1	0	0	0	0	0	0	0
ENST00000390360	0	0	0	0	0	0	0	0
ENST00000390361	0	0	0	2	0	0	0	0
ENST00000390362	0	0	0	0	0	0	0	0
ENST00000390363	0	0	0	2	0	0	0	0
ENST00000426318	0	0	0	0	0	0	0	0
ENST00000390369	0	0	0	0	0	0	0	0
ENST00000454561	0	0	0	0	0	0	0	0
ENST00000390371	0	0	0	0	0	0	0	0
ENST00000390372	0	0	0	0	0	0	0	0
ENST00000390373	0	0	0	0	0	0	0	0
ENST00000390374	0	0	0	0	0	0	0	0
ENST00000390376	0	0	0	0	0	0	0	0
ENST00000612787	0	0	0	0	0	0	0	0
ENST00000611462	0	0	0	0	0	0	0	0
ENST00000617347	0	0	0	0	0	0	0	0
ENST00000621184	0	2	1	0	0	0	0	0
ENST00000619103	0	0	0	0	0	0	0	0
ENST00000611520	0	0	0	0	0	0	0	0
ENST00000390393	0	0	0	0	0	0	0	0
ENST00000390394	0	0	0	0	0	0	0	0
ENST00000390397	0	0	0	0	0	0	0	0
ENST00000390398	0	0	0	0	0	0	0	0
ENST00000417977	0	0	0	0	0	0	0	0
ENST00000610808	0	0	0	0	0	0	0	0
ENST00000522175	0	0	0	0	0	0	0	0
ENST00000519951	0	0	0	0	0	0	0	0
ENST00000424348	0	0	0	0	0	0	0	0
ENST00000502411	1.076	0	1.153	6.55	0	2.222	1.669	2.389
ENST00000496692	29.814	26.844	24.093	22.345	15.208	22.732	17.573	25.311
ENST00000466542	0	0	0	0	0	0	0	0
ENST00000465075	18.784	6.114	17.643	15.654	25.436	3.488	13.055	14.76
ENST00000473530	126.535	272.223	255.864	312.991	234.824	118.082	171.434	341.496
ENST00000473712	1.97	5.145	0	0	0	0	0	0
ENST00000482226	0	0	0	0	0	0	4.528	0
ENST00000467903	89.695	203.848	139.42	220.133	128.469	45.611	125.522	249.842
ENST00000507374	1.422	1.821	0	0	11.564	0	0	0
ENST00000508651	15.455	29.223	31.563	51.587	43.448	9.011	32.959	38.295
ENST00000611236	2.565	0	0	0	0	0	1.949	0
ENST00000543859	116.415	107.508	113.462	131.909	131.878	70.445	125.269	185.466
ENST00000523857	0	0	0	0	0	0	0	0
ENST00000521053	0	0	0	0	0	0	0	0
ENST00000430863	0	0	0	0	0	0	0	0
ENST00000521161	0	0	0	0	0	0	0	0
ENST00000621837	0	0	0	0	0	0	0	0
ENST00000570683	0	0	0	0	0	0	0	0
ENST00000573400	0	0	0	0	0	0	0	0
ENST00000591655	0	0	0	0	0	0	0	0
ENST00000611850	0	0	0	0	0	0	0	0
ENST00000588823	0	0	0	0	0	0	0	0
ENST00000579578	0	0	0	0	0	0	0	0
ENST00000586762	0	0	0	0	0	0	0	0
ENST00000631283	0	0	0	0	0	0	0	0
ENST00000419783	2495.604	3808.766	4398.289	3318.209	3807.596	3339.028	4550.925	4510.954
ENST00000419349	39.779	79.2	87.266	79.167	131.393	87.803	84.493	100.397
ENST00000643797	55.311	76.202	138.858	58.082	117.817	74.096	64.729	95.283
ENST00000646881	0	0	0	0	7.579	0	0	4.953
ENST00000496791	0	0	0	0	0	0	0	0
ENST00000651740	0	0	0	0	0	0	0	0
ENST00000651279	0	0	0	0	0	0	0	0
ENST00000620890	4.193	20.129	0	0	0	0	4.884	0
ENST00000553483	1	0	0	0	0	0	0	0
ENST00000626647	0	0	0	3	0	1	0	0
ENST00000534447	1.008	3	1	3	3	2	2	2
ENST00000534142	0	1	0	0	0	2	0	0
ENST00000533478	0	0	0	0	0	0	0	0
ENST00000525539	0	0	0	0	0	0	0	0
ENST00000530363	0	1.897	1	0	0	0	0	0
ENST00000299598	0	1.103	0	1	0	0	0	0
ENST00000529079	0	0	0	0	0	0	0	0
ENST00000531391	0	0	1	0	0	0	0	0
ENST00000526632	0	0	0	0	0	0	0	0
ENST00000527937	2.015	0	3.017	1.006	1.001	2.01	0	2
ENST00000529791	0	0	0	0	0	0	0	0
ENST00000337114	0	0	0	0	0	0	0	0
ENST00000402588	0	0	0	0	0	0	0	0
ENST00000634759	14.093	0	0	0	0	0	0	0
ENST00000621118	0	0	7.16	0	0	0	0	0
ENST00000446393	0	0	0	12.311	0	0	0	0
ENST00000641506	13.251	11.222	10.254	0	14.204	14.291	8.192	19.323
ENST00000641557	1.275	2	0	0	1	0	0	1
ENST00000641057	0	0	3	3.373	0	0	0	0
ENST00000429239	0	0	0	0	0	0	0	0
ENST00000394191	2	9	2	7	0	9.49	2	26
ENST00000641710	0	0	0	0	0	1	0	0
ENST00000641031	0	0	0	0	0	0	0	0
ENST00000637675	0	0	0	0	0	0	0	0
ENST00000652053	0	4	4.501	6	2	0	3	4
ENST00000615270	0	0	0	0	0	0	0	0
ENST00000377712	0	0	0	0	0	0	1	0
ENST00000611873	0	0	0	0	0	0	0	0
ENST00000627926	0	2.626	26.713	18.63	12.095	6.362	5.756	4.057
ENST00000630506	0	0	0	0	0	0	1.554	0
ENST00000630053	0	0	0	0	0	1	0	1
ENST00000626712	0	1	0	0	0	0	0	1
ENST00000619759	0	0	0	0	0	0	0	0
ENST00000439431	0	0	0	0	0	0	0	0
ENST00000472952	0	0	0	0	0	0	0	0
ENST00000651230	0	0	0	0	1	0	1	1
ENST00000642324	2.001	1.004	5.015	0	0	1.001	1	1
ENST00000438700	0	0	0	2	0	0	0	0
ENST00000622555	0	0	0	0	1	0	0	0
ENST00000435101	0	0	0	0	0	0	0	0
ENST00000358097	0	0	0	0	0	0	0	0
ENST00000433992	0	0	0	0	0	0	0	0
ENST00000651010	0	0	0	0	0	0	7.351	0
ENST00000610593	0	0	0	0	0	0	0	0
ENST00000424775	0	0	0	0	0	2.759	0	0
ENST00000435688	0	0	0	0	0	0	1.202	0
ENST00000614967	0	0	0	0	0	0	0	0
ENST00000612115	0	0	0	0	0	0	0	0
ENST00000514827	0	0	0	0	0	0	0	0
ENST00000627256	23	28.374	22.287	37.37	12.905	21.638	25.69	33.943
ENST00000621433	0	0	0	0	0	0	0	0
ENST00000633377	0	0	0	0	0	0	0	0
ENST00000633062	3	0	3	0	0	5	0	1
ENST00000632233	0	6	0	4	28	0	5	0
ENST00000541415	0	0	0	0	0	0	0	0
ENST00000622436	0	0	0	1	0	0	0	0
ENST00000553765	0	1	0	1	0	0	0	0
ENST00000425829	0	0	0	0	0	0	0	0
ENST00000435756	0	0	0	0	0	0	0	0
ENST00000574062	0	0	0	0	0	0	0	0
ENST00000575319	2.857	3.251	14.975	17.391	0	13.519	0	0
ENST00000614621	0	0	0	0	0	0	0	0
ENST00000619036	0	0	0	0	2.152	0	0	0
ENST00000607853	0	0	0	0	0	0	29.759	0
ENST00000619390	0	0	0	0	0	0	0	0
ENST00000621713	0	0	0	0	0	0	0	0
ENST00000619141	0	0	0	0	0	0	0	0
ENST00000621830	0	0	0	0	0	0	0	0
ENST00000615996	0	0	0	0	0	0	0	0
ENST00000445557	0	0	0	0	0	0	0	0
ENST00000622207	0	0	0	0	0	0	0	0
ENST00000613512	0	0	0	0	0	0	0	0
ENST00000458137	0	0	0	0	0	0	0	0
ENST00000375726	0	0	0	0	0	0	0	0
ENST00000447913	0	0	0	0	0	0	0	0
ENST00000446862	0	0	0	0	0	0	0	0
ENST00000441710	0	0	0	0	0	0	0	0
ENST00000433738	0	1	0	0	0	0	0	0
ENST00000448103	0	0	0	0	0	0	0	0
ENST00000417998	0	0	0	0	0	0	0	0
ENST00000494737	0	0	0	0	0	1	0	4.164
ENST00000508062	0	0	0	0	0	0	0	0
ENST00000422698	0	0	0	0	0	0	0	2.836
ENST00000613379	0	0	0	0	0	0	0	0
ENST00000621991	0	0	0	0	0	0	0	0
ENST00000619816	0	0	0	0	0	0	0	0
ENST00000634967	0	0	0	0	0	0	0	0
ENST00000634680	0	0	0	0	0	0	0	0
ENST00000606380	0	0	0	0	0	0	0	0
ENST00000616270	0	0	0	0	0	0	0	0
ENST00000618719	0	9.076	2.806	0	3.697	22.548	0	0
ENST00000629682	0	0	0	0	14.209	0	0	0
ENST00000620741	18.937	15.258	0	0	0	0	3.982	25.411
ENST00000627911	10.13	2.395	0	8.261	0	10.198	8.21	0
ENST00000625994	0	0	0	0	0	0	0	0
ENST00000617651	0	0	0	0	0	5.142	0	0
ENST00000616376	0	0	0	0	0	0	0	0
ENST00000457194	0	6.014	3.002	7.67	15.377	5.757	5.589	8.378
ENST00000429712	0	0	0	1.349	2.568	0	0	2.781
ENST00000493176	0	0	0	0	3.029	0	2	0
ENST00000651966	2.016	0	1.005	0	0	1.265	0	0
ENST00000420396	0	0	0	0	0	0	0	0
ENST00000649616	2	0	0	0	0	0	0	0
ENST00000332217	0	0	0	0	0	0	0	0
ENST00000504970	0	0	0	0	0	0	0	0
ENST00000649376	0	0	0	0	0	0	0	0
ENST00000641246	0	0	0	0	0	0	0	0
ENST00000568934	0	0	0	0	0	0	0	0
ENST00000508166	0	7	0	0	0	0	0	0
ENST00000503442	0	0	0	0	0	0	0	0
ENST00000511446	0	0	0	0	1	0	0	0
ENST00000504802	0	9	0	0	0	0	0	0
ENST00000508264	0	0	0	0	0	0	0	0
ENST00000613293	0	0	0	0	0	0	0	0
ENST00000610628	0	0	0	0	0	0	0	0
ENST00000418689	0	0	0	0	0	0	0	0
ENST00000616914	0	0	0	0	0	0	0	0
ENST00000571766	0	0	0	0	0	0	0	1
ENST00000641465	0	1	0	0	0	0	0	0
ENST00000339924	0	0	0	0	0	0	0	0
ENST00000391729	0	0	0	0	0	0	0	0
ENST00000440231	0	0	0	1	0	0	0	0
ENST00000618570	2.028	0	1.005	0	4.056	2.013	1.009	0
ENST00000634782	0	0	0	0	0	0	0	0
ENST00000634785	0	0	1.936	0	0	0	0	0
ENST00000635170	0	0	0	0	0	0	3.757	6.887
ENST00000651274	80.537	99.022	82.035	87.023	94.635	102.141	103.735	126.25
ENST00000635588	3.123	2.391	15.794	3.669	6.22	0	5.737	16.618
ENST00000635668	0	0	0	0	0	0	0	0
ENST00000635135	0	0	0	0	0	0	0	0
ENST00000638472	0	0	0	0	0	0	0	0
ENST00000639581	0	0	0	0	0	0	0	0
ENST00000639095	0	0	0	0	0	0	0	0
ENST00000632136	0	1.088	0	1.08	0	0	1.074	0
ENST00000622053	814.679	791.546	574.637	617.92	900	1161.823	842.493	44
ENST00000443402	1	0	0	0	0	0	0	2
ENST00000436911	0	0	0	0	1	0	0	0
ENST00000390477	11	24	12	24	14	175	38	8
ENST00000611116	2082.904	2117.082	3264.658	2224.79	1433.777	2124.453	3159.731	1886.439
ENST00000466254	0	0	0	0	0	0	7.433	0
ENST00000633705	0	0	0	0	0	2.177	0	0
ENST00000390560	0	0	473.655	0	16.826	0	0	1
ENST00000488476	0	0	0	0	0	0	0	0
ENST00000461719	0	0	0	1	0	0	0	0
ENST00000463911	0	0	0	0	0	0	1	0
ENST00000390564	0	0	0	0	0	0	0	0
ENST00000390565	1	1	0	0	0	0	0	0
ENST00000631705	0	0	13.82	0	39.174	0	0	0
ENST00000633501	4.004	103.314	23	15	13.011	0	4	252
ENST00000631521	3	12.999	3	0	0	0	0	4
ENST00000633896	11	3	3	42	0	3	0	0
ENST00000632178	0	2	2	0	0	0	5	0
ENST00000390320	0	6.463	0	0	2.012	1.233	0	9.294
ENST00000390322	1.002	7	3.022	1	2	4	0	2
ENST00000390324	1	5	1	1	0	2	1	1
ENST00000390326	0	0	0	0	0	0	0	0
ENST00000390327	0	0	0	0	0	0	0	0
ENST00000390328	0	0	0	0	0	0	1	0
ENST00000390330	0	0	0	0	0	0	0	0
ENST00000390238	0	0	0	0	0	0	0	0
ENST00000390240	0	0	0	0	0	0	0	0
ENST00000390241	0	0	0	0	0	0	0	0
ENST00000390239	0	0	0	0	0	0	0	0
ENST00000390242	0	0	0	0	0	0	0	0
ENST00000497872	23.042	478.624	402.936	544.046	21.48	6106.324	151.582	14.993
ENST00000390539	0	0	1.106	0	0	0	0	0
ENST00000641420	0	0	0	0	2.381	0	0	0
ENST00000390541	0	5	0	0	0	0	0	0
ENST00000641978	1359.183	128.7	2807.788	2372.827	7.853	837.84	3230.566	88.084
ENST00000390543	1101.859	157.159	17.944	4249.036	5.669	144.211	168.724	1.29
ENST00000641095	413.202	395.999	1983.133	868.584	1.957	224.709	36250.13	26.36
ENST00000390545	235.847	0	0	946.398	0	0	1479.137	0
ENST00000641837	0	2017.495	4044.846	4738.674	31.571	62206.927	1028.882	50.669
ENST00000390547	137.949	1798.244	25472.653	4076.074	27.949	34021.552	1656.756	123.303
ENST00000390548	14034.13	830.827	10271.442	23976.727	11.352	7514.944	4009.328	270.262
ENST00000390549	87566.806	3249.728	45362.821	253765.585	106.778	9305.035	12208.815	1229.682
ENST00000390542	19.357	0	0	6.96	0	0	0	0
ENST00000641136	3332.499	7246.873	18735.882	5235.563	31.66	1391.493	1410.126	179.187
ENST00000390551	5240.926	10108.509	7368.83	18019.002	0	440.681	1465.477	0
ENST00000390556	2605.036	4779.909	1342.219	1042.527	7508.392	73.589	1570.964	6660.66
ENST00000613640	1195.643	1905.469	605.907	552.627	4137.211	26.411	834.306	2056.715
ENST00000637539	26170.805	52307.241	12714.503	12928.392	84280.444	849.232	14516.393	45982.308
ENST00000390559	172701.281	118307.01	47069.936	42984.828	219235.522	650.857	13574.575	120923.989
ENST00000632774	0	9957.433	20624.404	0	51.151	0	0	223.624
ENST00000622473	22.009	1098.738	7.09	401.707	0	29.235	31.265	11.573
ENST00000610670	11.662	0	4.311	51.345	20.222	29.872	11.002	12
ENST00000621803	0	639.818	1805.4	0	8.551	16.441	12264.546	37.713
ENST00000390321	159.027	393.53	6918.467	640.965	56.415	19550.757	50.139	97.861
ENST00000390323	2609.319	4923.93	48067.9	39146.881	18240.088	568.342	1890.189	680.694
ENST00000390325	2044.571	1209.21	26726.543	37145.383	19659.482	463.121	335.278	157.978
ENST00000390331	40.677	258.501	17.306	70727.85	5.002	7.039	20.631	18.538
ENST00000390237	82737.825	98207.781	27394.618	23257.211	1813.278	3538.66	58188.668	54441.183
ENST00000631807	52.961	8.4	7.071	18.718	7.084	8.168	73.437	7.851
ENST00000633570	10.106	45.619	137.035	199.435	23.332	421.264	87.195	7152.856
ENST00000631869	60.607	13.776	4.2	1.332	0	0	35.094	73.685
ENST00000612474	0	0	1730.164	1572.778	1.202	0	0	3.286
ENST00000632225	0	0	0	0	8.781	0	0	0
ENST00000631785	0	1.071	1.074	1.125	0	0	0	0
ENST00000633618	16.478	133.052	458.84	0	0	18.547	169.417	0
ENST00000633040	105.773	0	0	0	0	0	3	0
ENST00000631826	0	4.281	0	1	4	3	1	3
ENST00000632105	299.666	0	79.274	14.172	0	2.113	7.429	0
ENST00000632296	40.65	234.328	19.39	439.895	4.05	0	30.403	3.187
ENST00000630556	227.883	271.122	509.357	195.854	283.08	465.138	35.021	320.976
ENST00000567458	0	0	0	0	0	0	0	0
ENST00000425181	0	0	0	0	0	0	0	3
ENST00000565407	13.04	7.234	2.226	0	2.252	0	1.013	0
ENST00000453673	10.358	1.118	1	0	0	2.312	24.674	5.103
ENST00000421835	2.991	3.134	0	6.79	0	0	16.788	0
ENST00000390285	26	43.001	6091.263	333.799	37	4	95.764	8
ENST00000390284	1	2	3	17	0	0	1	2
ENST00000633299	0	73.043	0	0	0	0	78.897	0
ENST00000633350	2059.929	3934.879	6076.536	64183.257	27.62	28.45	180.842	31.886
ENST00000632977	78.322	19	57.491	43.984	3.115	7.908	5	53.322
ENST00000631379	959.048	21.38	5.011	2.632	1.081	47.779	2639.778	11.912
ENST00000633833	0	1.005	0	3.014	0	0	2	26.132
ENST00000560724	867.277	47.369	5	3.003	0	0	17.906	3
ENST00000633988	0	76.299	0	0	0	0	0	0
ENST00000632333	1.013	1.006	1.014	21.109	0	124.994	0	1.329
ENST00000633752	0	1	0	0	0	0	0	0
ENST00000634015	5.116	169.269	81.432	6.635	34093.968	3.036	8.933	7.202
ENST00000631975	4.347	19.806	8304.86	1.295	2.041	0	1.487	5.555
ENST00000632959	10590.81	1522.763	24.054	0	4	0	64.883	2
ENST00000631755	4.312	1.826	18.263	0	0	0	0	0
ENST00000633147	174.997	3208.024	41.62	155.221	18.3	0	0	360.447
ENST00000632076	10.033	112.296	34.855	75.879	2	21.766	5.052	1
ENST00000632980	17628.898	162.95	0	0	0	0	22.83	7.127
ENST00000632630	448.673	3507.302	7099.314	286.762	3.762	340.957	237.715	45.229
ENST00000633490	26525.729	64.116	142.129	0	2.069	14.706	0	0
ENST00000632457	0	2	0	0	0	0	0	0
ENST00000354689	1.462	3.144	3.827	0	2.005	0	2.437	0
ENST00000558425	0	0	0	0	0	0	0	0
ENST00000632719	8.922	132.469	55.4	48.818	3.644	19.532	17.52	0
ENST00000633400	32.933	992.719	765.58	519.769	37.937	13.231	599.14	115.451
ENST00000632151	0	121.233	29.906	2.351	0	0	13.779	0
ENST00000390286	1	0	0	1	1	0	0	0
ENST00000390282	0	308.724	0	11	0	3	8	1
ENST00000390283	1	87.199	22	20	5	1	3	464
ENST00000390287	6.034	0	12	2	0	0	0	0
ENST00000640991	0	1	0	0	0	0	0	0
ENST00000622028	0	2.021	1.026	1.026	0	0	0	0
ENST00000629472	1.004	1.012	0	0	1426.695	0	0	0
ENST00000627634	0	0	0	0	0	0	0	0
ENST00000390593	1	0	25.03	554.015	0	0	0	0
ENST00000628219	0	0	0	0	0	0	13.062	0
ENST00000626108	0	18.291	7.944	1.107	0	0	104.683	2.069
ENST00000627132	0	0	1.035	0	0	0	0	0
ENST00000390598	763.607	12522.57	496.235	364.643	0	36.685	139.152	40.951
ENST00000632950	0	0	0	3.7	0	0	0	0
ENST00000390603	0	0	0	44.772	0	1.123	0	0
ENST00000390605	0	0	3219.699	0	0	10.242	60.791	0
ENST00000390607	8620.422	0	13.117	141.687	1	0	0	0
ENST00000390610	406.11	0	0	3.01	0	0	10.177	8.016
ENST00000390611	1	0	0	0	0	0	0	0
ENST00000438142	37.774	31.233	44.877	4.663	157.383	990.942	11.804	186.024
ENST00000390615	9.876	252.772	668.769	23.533	12.504	7.089	59.694	611.841
ENST00000390616	96.332	28.13	3913.444	0	0	1993.612	27.466	0
ENST00000390617	0	0	16.603	2.025	0	0	0	0
ENST00000390618	0	0	0	0	0	0	0	0
ENST00000390619	0	412.237	0	61.206	7	5349.741	0	6.001
ENST00000434710	0	36.883	26.147	55.944	2.358	0	0	0
ENST00000390622	0	15.34	0	0	0	0	0	1.016
ENST00000390625	1	70.631	0	2.033	1	0	186.477	1.136
ENST00000390626	154.661	0	0	6.3	3	0	0	2
ENST00000390627	82.383	30.831	191	26.227	2.867	1.01	27.845	7.87
ENST00000338912	1	0	0	0	0	0	0	0
ENST00000558565	0	1.008	0	0	0	1.524	0	0
ENST00000390628	6	1	2	0	1	0	17.007	0
ENST00000390629	14.674	349.09	669.291	7358.126	2.702	7.094	103.828	8580.023
ENST00000390630	0	126.45	129.511	14.003	8.488	2.55	4696.932	219.752
ENST00000454421	1.031	1.006	0	0	0	0	16.605	0
ENST00000390632	0	0	81.925	0	0	90.265	0	0
ENST00000390633	0	0	0	0	0	0	0	0
ENST00000390634	30.315	4.478	6.532	361.911	1	0	0	0
ENST00000632209	36.512	0	0	0	0	0	0	0
ENST00000624687	2065.05	169.993	901.263	6.134	21.815	0	82.45	5.151
ENST00000617374	16.429	4.152	4.468	700.23	0	0	1.221	1
ENST00000433072	12.039	0	0	0	8.355	3.31	0	5.409
ENST00000621503	0	0	15.505	0	0	0	0	0
ENST00000424969	0	0	0	0	0	15.66	0	1.006
ENST00000390636	0	0	2.176	3.065	1	1.619	0	0
ENST00000390639	1	0	2	2	2	3	1.011	0
ENST00000626489	0	11	66.057	40	0	13	0	0
ENST00000628287	0	0	0	132.197	5	0	0	0
ENST00000618644	0	7.912	0	1	0	0	3.319	0
ENST00000630493	0	0	0	0	0	0	0	0
ENST00000610349	29.656	51.744	3947.363	5.777	1	207.897	27.16	1
ENST00000628968	0	0	0	1	0	0	0	0
ENST00000618026	0	1.104	38.775	4.776	0	1.064	0	0
ENST00000390291	0	0	2.258	2.259	0	3.349	0	0
ENST00000570121	0	0	0	0	0	0	0	0
ENST00000390289	51.939	214.02	51.84	31807.404	90.03	73.974	74.06	51.572
ENST00000622410	0	64.204	175.967	3.163	0	3966.446	5.282	0
ENST00000390290	27.731	679.751	35	903.212	8	6.584	631.725	6
ENST00000620764	815.559	10	616.696	0	0	0	119	0
